000			Story of Legends
002-178-003	Just Couldn't Say Goodbye
002-178-004	I'm Sorry
002-186		Battle! Tamakoma Second's Leader
002-186-000	I can’t refuse to fight.
002-186-001	Just One More Battle
002-186-002	I'll Do What I Must
002-186-003	After-Battle Introspection
002-186-004	I'm No Hero
002-187		Battle! Tamakoma Second's Ace
002-187-000	People make up the stupidest lies.
002-187-001	This'll Be Easy
002-187-002	Fleeing is a Part of Battle
002-187-003	Defeat in Aimless Wandering
002-187-004	No Time for Slacking
002-188		Vs Training Marmod
002-188-000	Training Level 1
002-188-001	Training Level 2
002-188-002	Training Level 3
002-188-003	Training Level 4
002-188-004	Training Level 5
002-189		New Challenger
002-189-000	VS SAKURA (Easy)
002-190		New Challenger
002-190-000	VS SAKURA (Expert)
002-191		New Challenger
002-191-000	VS LUKE (Easy)
002-192		New Challenger
002-192-000	VS LUKE (Expert)
002-193		Street Fighter: VERY HARD
002-193-000	Master of Heart Lv.1
002-193-001	Land & Sky Lv.1
002-193-002	Master of Heart Lv.2
002-193-003	Land & Sky Lv.2
002-193-004	Master of Heart Lv.3
002-193-005	Land & Sky Lv.3
002-193-006	Master of Heart Lv.4
002-193-007	Land & Sky Lv.4
002-193-008	Master of Heart Lv.MAX
002-193-009	Land & Sky Lv.MAX
002-194		Holy War: Saber
002-194-000	Fated Night (Easy)
002-194-001	Fated Night (Expert)
002-195		Holy War: Lancer
002-195-000	Assault from Above (Easy)
002-195-001	Assault from Above (Expert)
002-196		Holy War: Archer
002-196-000	Unlimited Bladeworks (Easy)
002-196-001	Unlimited Bladeworks (Expert)
002-197		Holy War: Rider
002-197-000	Blood Temple (Easy)
002-197-001	Blood Temple (Expert)
002-198		Holy War: Gilgamesh
002-198-000	King of Heroes (Veteran)
002-198-001	King of Heroes (Deadly)
002-204		Redhead Yuki Cat Awakens!
002-204-000	Redheaded Rise (Veteran)
002-204-001	Redheaded Rise (Insane)
002-205		The 9th Angel Strikes!
002-205-000	Asuka On Board (Easy)
002-205-001	Asuka On Board (Expert)
002-206		The 10th Angel Strikes!
002-206-000	Refusal Type (Hard)
002-206-001	Refusal Type (Merciless)
002-207		Eva Unit-13 Strikes!
002-207-000	It's Not Your Fault (Veteran)
002-207-001	We'll Meet Again (Merciless)
002-208		Final Battle: EVA Unit-13
002-208-000	Something I Must Do
002-208-001	Grow Up, Shinji
002-209		Bye-bye, all of the Cats
002-209-000	Finale
002-210		Weekend Concert: Day 1
002-210-000	Virtual Singer's Journey
002-210-001	A Future Born Today
002-210-002	Growing Creativity
002-211		Weekend Concert: Day 2
002-211-000	Endless Possibility
002-211-001	Imagine With Me
002-211-002	Dear Creators
002-214		Era of Enoch
002-214-000	Frozen Glacier
002-214-001	Blazing Wastes
002-214-002	Sacred Wood
002-214-003	Shining City
002-214-004	Midnight Abyss
002-215		Battle with Madhead!
002-215-000	Power-Up Material Clash
002-215-001	Complete Power-Up
002-215-002	Super Power-Up
002-215-003	Perfect Power-Up
002-215-004	Miracle Power-Up
002-216		Rurouni Kenshin
002-216-000	Wandering Swordsman
002-216-001	Zanza, Fighter for Hire
002-216-002	Sakabato and Zanbato
002-216-003	Master of the Oniwaban
002-216-004	Secret Police
002-217		Kenshin Himura, Battosai
002-217-000	Feared Bakumatsu Warrior
002-217-001	A Blade Which Does Not Kill-Sakabato
002-217-002	Swift Satsujinken
002-217-003	Hiten Mitsurugi-ryu
002-217-004	Master of Battojutsu
002-218		Sanosuke Sagara, Fighter for Hire
002-218-000	I've Come for a Fight
002-218-001	Zanbato, the Giant Sword
002-218-002	Mark of Villainy
002-218-003	I Won't Be Beaten!
002-218-004	Let's Finish This!
002-219		A Wolf Baring Fangs
002-219-000	The Wolf Revived
002-219-001	Evil-Immediate-Slaughter
002-219-002	I Disavow You Entirely
002-220		Witch's Labyrinth: Rose Garden Witch
002-220-000	Allow Me To Introduce Myself
002-220-001	But Before That
002-220-002	Some Cleaning Up
002-220-003	Is In Order
002-220-004	Tiro Finale!
002-221		Witch's Labyrinth: Dessert Witch
002-221-000	My Body Is Light
002-221-001	With Such Joy
002-221-002	A Battle Like This
002-221-003	I'm Afraid of Nothing
002-221-004	I'm Not Alone Anymore
002-222		Witch's Labyrinth: Box Witch
002-222-000	I Know My Wish
002-222-001	Miracles and Magic Are Real
002-222-002	Did I Do Well?
002-222-003	I Have No Regrets
002-222-004	You'll Be Happy, Won't You
002-223		Strongest Things Alive
002-223-000	Scion of the Hanayama Group
002-223-001	Young Leader of Shinshinkai
002-223-002	Chinese Martial Arts Pugilist
002-223-003	Pit Fighter
002-223-004	Son of the Strongest Thing
002-223-005	Japan's Greatest Brawler
002-223-006	The Lethal Weapon of Karate
002-223-007	The Master of Chinese Kenpo
002-223-008	The Warrior With Demon Blood
002-223-009	Champion of the Underground Arena
002-224		Green Hill Zone
002-224-000	Gotta Keep Movin'
002-224-001	Promises Kept
002-224-002	Helping Those In Need
002-224-003	Always Sharp, Always Cool
002-224-004	The Fastest Hedgehog Alive
002-225		Chemical Plant Zone
002-225-000	A.K.A. Miles Prower
002-225-001	Kindly Two-Tails
002-225-002	Sonic's Dependable Pal
002-225-003	Brain-and-Mech Support
002-225-004	High-Flying Partner
002-226		Sky Sanctuary
002-226-000	Leave Treasure Hunting to Me!
002-226-001	Punching, Soaring, Climbing!
002-226-002	Sonic's Battle Buddy
002-226-003	Hot-Headed Echidna
002-226-004	Master Emerald's Protector
002-227		The 9th Angel Strikes!
002-227-000	Asuka On Board (Easy)
002-227-001	Asuka On Board (Expert)
002-228		The 10th Angel Strikes!
002-228-000	Refusal Type (Hard)
002-228-001	Refusal Type (Merciless)
002-229		EVA Unit-13 Strikes!
002-229-000	It's Not Your Fault (Veteran)
002-229-001	We'll Meet Again (Merciless)

003			Empire of Cats
003-000		EoC Ch.1 Zombie
003-000-000	Corée
003-000-001	Mongolie
003-000-002	Chine
003-000-003	Thaïlande
003-000-004	Cambodge
003-000-005	Philippines
003-000-006	Japon
003-000-007	Australie
003-000-008	Singapour
003-000-009	Maldives
003-000-010	Inde
003-000-011	Népal
003-000-012	Dubaï
003-000-013	Arabie Saoudite
003-000-014	Kenya
003-000-015	Madagascar
003-000-016	Afrique du Sud
003-000-017	Ghana
003-000-018	Sahara
003-000-019	Égypte
003-000-020	Turquie
003-000-021	Russie
003-000-022	Grèce
003-000-023	Italie
003-000-024	Monaco
003-000-025	Espagne
003-000-026	France
003-000-027	Allemagne
003-000-028	Danemark
003-000-029	Norvège
003-000-030	Royaume-Uni
003-000-031	Groenland
003-000-032	Canada
003-000-033	New York
003-000-034	Bermudes
003-000-035	Jamaïque
003-000-036	Colombie
003-000-037	Brésil
003-000-038	Argentine
003-000-039	Machu Picchu
003-000-040	Île de Pâques
003-000-041	Mexique
003-000-042	NASA
003-000-043	Las Vegas
003-000-044	Hollywood
003-000-045	Alaska
003-000-046	Hawaï
003-000-047	Lune
003-001		EoC Ch.2 Zombie
003-001-000	Corée
003-001-001	Mongolie
003-001-002	Chine
003-001-003	Thaïlande
003-001-004	Cambodge
003-001-005	Philippines
003-001-006	Japon
003-001-007	Australie
003-001-008	Singapour
003-001-009	Maldives
003-001-010	Inde
003-001-011	Népal
003-001-012	Dubaï
003-001-013	Arabie Saoudite
003-001-014	Kenya
003-001-015	Madagascar
003-001-016	Afrique du Sud
003-001-017	Ghana
003-001-018	Sahara
003-001-019	Égypte
003-001-020	Turquie
003-001-021	Russie
003-001-022	Grèce
003-001-023	Italie
003-001-024	Monaco
003-001-025	Espagne
003-001-026	France
003-001-027	Allemagne
003-001-028	Danemark
003-001-029	Norvège
003-001-030	Royaume-Uni
003-001-031	Groenland
003-001-032	Canada
003-001-033	New York
003-001-034	Bermudes
003-001-035	Jamaïque
003-001-036	Colombie
003-001-037	Brésil
003-001-038	Argentine
003-001-039	Machu Picchu
003-001-040	Île de Pâques
003-001-041	Mexique
003-001-042	NASA
003-001-043	Las Vegas
003-001-044	Hollywood
003-001-045	Alaska
003-001-046	Hawaï
003-001-047	Lune
003-002		EoC Ch.3 Zombie
003-002-000	Corée
003-002-001	Mongolie
003-002-002	Chine
003-002-003	Thaïlande
003-002-004	Cambodge
003-002-005	Philippines
003-002-006	Japon
003-002-007	Australie
003-002-008	Singapour
003-002-009	Maldives
003-002-010	Inde
003-002-011	Népal
003-002-012	Dubaï
003-002-013	Arabie Saoudite
003-002-014	Kenya
003-002-015	Madagascar
003-002-016	Afrique du Sud
003-002-017	Ghana
003-002-018	Sahara
003-002-019	Égypte
003-002-020	Turquie
003-002-021	Russie
003-002-022	Grèce
003-002-023	Italie
003-002-024	Monaco
003-002-025	Espagne
003-002-026	France
003-002-027	Allemagne
003-002-028	Danemark
003-002-029	Norvège
003-002-030	Royaume-Uni
003-002-031	Groenland
003-002-032	Canada
003-002-033	New York
003-002-034	Bermudes
003-002-035	Jamaïque
003-002-036	Colombie
003-002-037	Brésil
003-002-038	Argentine
003-002-039	Machu Picchu
003-002-040	Île de Pâques
003-002-041	Mexique
003-002-042	NASA
003-002-043	Las Vegas
003-002-044	Hollywood
003-002-045	Alaska
003-002-046	Hawaï
003-002-047	Lune
003-003		ItF Ch.1
003-003-000	Japon
003-003-001	Corée
003-003-002	Chine
003-003-003	Mongolie
003-003-004	Russie
003-003-005	Norvège
003-003-006	Royaume-Uni
003-003-007	Danemark
003-003-008	Allemagne
003-003-009	France
003-003-010	Espagne
003-003-011	Monaco
003-003-012	Italie
003-003-013	Grèce
003-003-014	Turquie
003-003-015	Dubaï
003-003-016	Inde
003-003-017	Népal
003-003-018	Thaïlande
003-003-019	Cambodge
003-003-020	Philippines
003-003-021	Singapour
003-003-022	Australie
003-003-023	Le grand abîme
003-003-024	Madagascar
003-003-025	Kenya
003-003-026	Arabie Saoudite
003-003-027	Égypte
003-003-028	Sahara
003-003-029	Ghana
003-003-030	Afrique du Sud
003-003-031	Argentine
003-003-032	Île de Pâques
003-003-033	Machu Picchu
003-003-034	Colombie
003-003-035	Jamaïque
003-003-036	Mexique
003-003-037	Hollywood
003-003-038	Las Vegas
003-003-039	Alaska
003-003-040	Canada
003-003-041	Groenland
003-003-042	New York
003-003-043	NASA
003-003-044	Bermudes
003-003-045	Brésil
003-003-046	Continent flottant
003-003-047	Lune
003-004		ItF Ch.2
003-004-000	Japon
003-004-001	Corée
003-004-002	Chine
003-004-003	Mongolie
003-004-004	Russie
003-004-005	Norvège
003-004-006	Royaume-Uni
003-004-007	Danemark
003-004-008	Allemagne
003-004-009	France
003-004-010	Espagne
003-004-011	Monaco
003-004-012	Italie
003-004-013	Grèce
003-004-014	Turquie
003-004-015	Dubaï
003-004-016	Inde
003-004-017	Népal
003-004-018	Thaïlande
003-004-019	Cambodge
003-004-020	Philippines
003-004-021	Singapour
003-004-022	Australie
003-004-023	Le grand abîme
003-004-024	Madagascar
003-004-025	Kenya
003-004-026	Arabie Saoudite
003-004-027	Égypte
003-004-028	Sahara
003-004-029	Ghana
003-004-030	Afrique du Sud
003-004-031	Argentine
003-004-032	Île de Pâques
003-004-033	Machu Picchu
003-004-034	Colombie
003-004-035	Jamaïque
003-004-036	Mexique
003-004-037	Hollywood
003-004-038	Las Vegas
003-004-039	Alaska
003-004-040	Canada
003-004-041	Groenland
003-004-042	New York
003-004-043	NASA
003-004-044	Bermudes
003-004-045	Brésil
003-004-046	Continent flottant
003-004-047	Lune
003-005		ItF Ch.3
003-005-000	Japon
003-005-001	Corée
003-005-002	Chine
003-005-003	Mongolie
003-005-004	Russie
003-005-005	Norvège
003-005-006	Royaume-Uni
003-005-007	Danemark
003-005-008	Allemagne
003-005-009	France
003-005-010	Espagne
003-005-011	Monaco
003-005-012	Italie
003-005-013	Grèce
003-005-014	Turquie
003-005-015	Dubaï
003-005-016	Inde
003-005-017	Népal
003-005-018	Thaïlande
003-005-019	Cambodge
003-005-020	Philippines
003-005-021	Singapour
003-005-022	Australie
003-005-023	Le grand abîme
003-005-024	Madagascar
003-005-025	Kenya
003-005-026	Arabie Saoudite
003-005-027	Égypte
003-005-028	Sahara
003-005-029	Ghana
003-005-030	Afrique du Sud
003-005-031	Argentine
003-005-032	Île de Pâques
003-005-033	Machu Picchu
003-005-034	Colombie
003-005-035	Jamaïque
003-005-036	Mexique
003-005-037	Hollywood
003-005-038	Las Vegas
003-005-039	Alaska
003-005-040	Canada
003-005-041	Groenland
003-005-042	New York
003-005-043	NASA
003-005-044	Bermudes
003-005-045	Brésil
003-005-046	Continent flottant
003-005-047	Lune
003-006		CotC Ch.1
003-006-000	Terre
003-006-001	Mars
003-006-002	Jupiter
003-006-003	Saturne
003-006-004	Vénus
003-006-005	Mercure
003-006-006	Soleil
003-006-007	Uranus
003-006-008	Neptune
003-006-009	Triton
003-006-010	Pluton
003-006-011	Rectangle rouge
003-006-012	Nébuleuse eskimo
003-006-013	Nébuleuse œil de Chat
003-006-014	Nébuleuse œuf
003-006-015	Nébuleuse Calabash
003-006-016	Altaïr
003-006-017	Sirius
003-006-018	Canopus
003-006-019	Véga
003-006-020	Aldébaran
003-006-021	Bételgeuse
003-006-022	Déneb
003-006-023	Salon cosmique
003-006-024	Étoile du mireur
003-006-025	Kaïou
003-006-026	Magellanique
003-006-027	Buutara
003-006-028	Oscandar
003-006-029	Coronus
003-006-030	Soba IV
003-006-031	Pulplanète
003-006-032	Darararah
003-006-033	Mercivoir
003-006-034	Mertoz
003-006-035	Urura
003-006-036	Aguham
003-006-037	Somolon
003-006-038	Ababwa
003-006-039	Titan
003-006-040	Rictus
003-006-041	Gorigori
003-006-042	Broton
003-006-043	Étoile écarlate
003-006-044	Nébuleuse N77
003-006-045	Andromède
003-006-046	Trou noir
003-006-047	Le Big Bang
003-007		CotC Ch.1
003-007-000	Terre
003-007-001	Mars
003-007-002	Jupiter
003-007-003	Saturne
003-007-004	Vénus
003-007-005	Mercure
003-007-006	Soleil
003-007-007	Uranus
003-007-008	Neptune
003-007-009	Triton
003-007-010	Pluton
003-007-011	Rectangle rouge
003-007-012	Nébuleuse eskimo
003-007-013	Nébuleuse œil de Chat
003-007-014	Nébuleuse œuf
003-007-015	Nébuleuse Calabash
003-007-016	Altaïr
003-007-017	Sirius
003-007-018	Canopus
003-007-019	Véga
003-007-020	Aldébaran
003-007-021	Bételgeuse
003-007-022	Déneb
003-007-023	Salon cosmique
003-007-024	Étoile du mireur
003-007-025	Kaïou
003-007-026	Magellanique
003-007-027	Buutara
003-007-028	Oscandar
003-007-029	Coronus
003-007-030	Soba IV
003-007-031	Pulplanète
003-007-032	Darararah
003-007-033	Mercivoir
003-007-034	Mertoz
003-007-035	Urura
003-007-036	Aguham
003-007-037	Somolon
003-007-038	Ababwa
003-007-039	Titan
003-007-040	Rictus
003-007-041	Gorigori
003-007-042	Broton
003-007-043	Étoile écarlate
003-007-044	Nébuleuse N77
003-007-045	Andromède
003-007-046	Trou noir
003-007-047	Le Big Bang
003-008		CotC Ch.3
003-008-000	Terre
003-008-001	Mars
003-008-002	Jupiter
003-008-003	Saturne
003-008-004	Vénus
003-008-005	Mercure
003-008-006	Soleil
003-008-007	Uranus
003-008-008	Neptune
003-008-009	Triton
003-008-010	Pluton
003-008-011	Rectangle rouge
003-008-012	Nébuleuse eskimo
003-008-013	Nébuleuse œil de Chat
003-008-014	Nébuleuse œuf
003-008-015	Nébuleuse Calabash
003-008-016	Altaïr
003-008-017	Sirius
003-008-018	Canopus
003-008-019	Véga
003-008-020	Aldébaran
003-008-021	Bételgeuse
003-008-022	Déneb
003-008-023	Salon cosmique
003-008-024	Étoile du mireur
003-008-025	Kaïou
003-008-026	Magellanique
003-008-027	Buutara
003-008-028	Oscandar
003-008-029	Coronus
003-008-030	Soba IV
003-008-031	Pulplanète
003-008-032	Darararah
003-008-033	Mercivoir
003-008-034	Mertoz
003-008-035	Urura
003-008-036	Aguham
003-008-037	Somolon
003-008-038	Ababwa
003-008-039	Titan
003-008-040	Rictus
003-008-041	Gorigori
003-008-042	Broton
003-008-043	Étoile écarlate
003-008-044	Nébuleuse N77
003-008-045	Andromède
003-008-046	Trou noir
003-008-047	Le Big Bang
003-009		EoC
003-009-000	Corée
003-009-001	Mongolie
003-009-002	Chine
003-009-003	Thaïlande
003-009-004	Cambodge
003-009-005	Philippines
003-009-006	Japon
003-009-007	Australie
003-009-008	Singapour
003-009-009	Maldives
003-009-010	Inde
003-009-011	Népal
003-009-012	Dubaï
003-009-013	Arabie Saoudite
003-009-014	Kenya
003-009-015	Madagascar
003-009-016	Afrique du Sud
003-009-017	Ghana
003-009-018	Sahara
003-009-019	Égypte
003-009-020	Turquie
003-009-021	Russie
003-009-022	Grèce
003-009-023	Italie
003-009-024	Monaco
003-009-025	Espagne
003-009-026	France
003-009-027	Allemagne
003-009-028	Danemark
003-009-029	Norvège
003-009-030	Royaume-Uni
003-009-031	Groenland
003-009-032	Canada
003-009-033	New York
003-009-034	Bermudes
003-009-035	Jamaïque
003-009-036	Colombie
003-009-037	Brésil
003-009-038	Argentine
003-009-039	Machu Picchu
003-009-040	Île de Pâques
003-009-041	Mexique
003-009-042	NASA
003-009-043	Las Vegas
003-009-044	Hollywood
003-009-045	Alaska
003-009-046	Hawaï
003-009-047	Lune
003-010		ItF Ch.1 Zombie
003-010-000	Japon
003-010-001	Corée
003-010-002	Chine
003-010-003	Mongolie
003-010-004	Russie
003-010-005	Norvège
003-010-006	Royaume-Uni
003-010-007	Danemark
003-010-008	Allemagne
003-010-009	France
003-010-010	Espagne
003-010-011	Monaco
003-010-012	Italie
003-010-013	Grèce
003-010-014	Turquie
003-010-015	Dubaï
003-010-016	Inde
003-010-017	Népal
003-010-018	Thaïlande
003-010-019	Cambodge
003-010-020	Philippines
003-010-021	Singapour
003-010-022	Australie
003-010-023	Le grand abîme
003-010-024	Madagascar
003-010-025	Kenya
003-010-026	Arabie Saoudite
003-010-027	Égypte
003-010-028	Sahara
003-010-029	Ghana
003-010-030	Afrique du Sud
003-010-031	Argentine
003-010-032	Île de Pâques
003-010-033	Machu Picchu
003-010-034	Colombie
003-010-035	Jamaïque
003-010-036	Mexique
003-010-037	Hollywood
003-010-038	Las Vegas
003-010-039	Alaska
003-010-040	Canada
003-010-041	Groenland
003-010-042	New York
003-010-043	NASA
003-010-044	Bermudes
003-010-045	Brésil
003-010-046	Continent flottant
003-010-047	Lune
003-012		ItF Ch.2 Zombie
003-012-000	Japon
003-012-001	Corée
003-012-002	Chine
003-012-003	Mongolie
003-012-004	Russie
003-012-005	Norvège
003-012-006	Royaume-Uni
003-012-007	Danemark
003-012-008	Allemagne
003-012-009	France
003-012-010	Espagne
003-012-011	Monaco
003-012-012	Italie
003-012-013	Grèce
003-012-014	Turquie
003-012-015	Dubaï
003-012-016	Inde
003-012-017	Népal
003-012-018	Thaïlande
003-012-019	Cambodge
003-012-020	Philippines
003-012-021	Singapour
003-012-022	Australie
003-012-023	Le grand abîme
003-012-024	Madagascar
003-012-025	Kenya
003-012-026	Arabie Saoudite
003-012-027	Égypte
